Мальорка,15.25,2.50,12.75
Реал Сосьедад,13.67,9.00,4.67
Райо Вальекано,12.67,6.83,5.83
Осасуна,12.25,6.75,5.50
Реал Мадрид,12.22,8.44,3.78
Алавес,12.00,5.60,6.40
Тоттенхэм,11.56,4.44,7.11
Ноттингем Форест,11.33,6.00,5.33
Сельта,11.33,5.33,6.00
Лас-Пальмас,11.20,6.80,4.40
Саутгемптон,11.00,5.67,5.33
Вальядолид,11.00,5.50,5.50
Бетис,10.80,4.80,6.00
Манчестер Сити,10.40,8.10,2.30
Брентфорд,10.22,4.89,5.33
Арсенал,10.20,7.20,3.00
Фулхэм,10.00,5.57,4.43
Вильярреал,10.00,2.67,7.33
Ньюкасл Юнайтед,9.67,4.56,5.11
Валенсия,9.60,3.60,6.00
Вулверхэмптон,9.50,5.83,3.67
Жирона,9.50,3.00,6.50
Челси,9.40,6.00,3.40
Барселона,9.40,6.50,2.90
Эвертон,9.38,3.88,5.50
Вест Хэм,9.25,2.88,6.38
Леганес,9.00,3.67,5.33
Брайтон,8.80,5.40,3.40
Эспаньол,8.80,4.40,4.40
Борнмут,8.67,6.67,2.00
Лестер,8.62,5.00,3.62
Кристал Пэлас,8.43,2.86,5.57
Атлетик,8.43,3.29,5.14
Ливерпуль,8.00,4.78,3.22
Астон Вилла,8.00,4.25,3.75
Атлетико,8.00,4.90,3.10
Хетафе,8.00,3.40,4.60
Манчестер Юнайтед,7.62,3.75,3.88
Севилья,7.33,3.33,4.00
Ипсвич Таун,5.80,3.60,2.20
